epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3621,0.80969,2.88929,1.04244,0.008,1,0.51967,0.3955,0.50535,2.86106,0.9381,6e-05,6e-05,6e-05
2,48.2897,0.66494,2.42357,0.9836,0.008,1,0.75908,0.66688,0.41791,2.61199,0.81667,0.000139861,0.000139861,0.000139861
3,70.0135,0.55603,1.53811,0.91896,1,0.6439,0.91668,0.7867,0.47995,2.10654,0.7783,0.000219564,0.000219564,0.000219564
4,91.4467,0.54398,1.10375,0.88908,0.93194,0.76091,0.93206,0.78306,0.53178,2.00219,0.78595,0.000299109,0.000299109,0.000299109
5,113.762,0.60172,1.13628,0.96152,0.91943,0.63417,0.89869,0.74545,0.55706,1.98835,0.79669,0.000378495,0.000378495,0.000378495
6,135.202,0.59528,1.00792,0.92936,1,0.67171,0.92101,0.73876,0.59142,1.8388,0.80295,0.000457723,0.000457723,0.000457723
7,156.194,0.55641,0.9337,0.92595,1,0.67281,0.92454,0.78208,0.53309,1.89513,0.79939,0.000536792,0.000536792,0.000536792
8,177.396,0.57333,0.90342,0.93421,1,0.68376,0.91567,0.77238,0.55324,1.91702,0.83261,0.000615703,0.000615703,0.000615703
9,198.565,0.58617,0.8638,0.94864,0.92662,0.70175,0.89601,0.76053,0.56589,1.98977,0.82544,0.000694456,0.000694456,0.000694456
10,222.888,0.57784,0.90382,0.91787,0.93664,0.66667,0.86382,0.74986,0.51141,1.94788,0.80456,0.00077305,0.00077305,0.00077305
11,244.02,0.57549,0.87982,0.90954,0.76225,0.62363,0.78384,0.65788,0.55189,1.85907,0.82274,0.000851486,0.000851486,0.000851486
12,265.12,0.52047,0.80729,0.89461,0.63477,0.53115,0.70673,0.58058,0.55264,1.86589,0.85657,0.000929763,0.000929763,0.000929763
13,286.302,0.62058,0.93461,0.95606,0.73472,0.41667,0.72779,0.59981,0.54758,2.07206,0.83914,0.00100788,0.00100788,0.00100788
14,307.618,0.62527,0.87054,0.91674,0.94604,0.52778,0.87187,0.71896,0.59475,2.0201,0.86559,0.00108584,0.00108584,0.00108584
15,328.567,0.56282,0.8355,0.9365,0.93184,0.80556,0.9421,0.80981,0.53862,1.78668,0.84071,0.00116365,0.00116365,0.00116365
16,349.707,0.57751,0.78649,0.90406,0.75135,0.80556,0.82486,0.69824,0.53463,1.65703,0.84285,0.00124129,0.00124129,0.00124129
17,370.816,0.54955,0.82705,0.94148,0.85352,0.75,0.91208,0.75895,0.55427,1.55615,0.86519,0.00131877,0.00131877,0.00131877
18,391.918,0.58583,0.78381,0.91584,0.78517,0.60922,0.7875,0.66447,0.63274,1.93158,0.90216,0.0013961,0.0013961,0.0013961
19,412.901,0.57192,0.79637,0.92161,0.8394,0.66667,0.86705,0.71336,0.68267,1.91561,0.91824,0.00147327,0.00147327,0.00147327
20,434.033,0.5189,0.71585,0.87974,0.91274,0.87188,0.94562,0.77871,0.62542,1.66471,0.91972,0.00155028,0.00155028,0.00155028
21,455.057,0.56648,0.71991,0.89967,0.90761,0.81881,0.93896,0.76567,0.61652,1.41913,0.91605,0.00162713,0.00162713,0.00162713
22,476.803,0.56177,0.74204,0.92387,0.79108,0.84158,0.89533,0.76308,0.61942,1.45923,0.92777,0.00170383,0.00170383,0.00170383
23,497.916,0.56543,0.70539,0.91816,0.80608,0.77778,0.88871,0.78032,0.60015,1.35062,0.90084,0.00178036,0.00178036,0.00178036
24,519.436,0.5943,0.70878,0.91472,0.93939,0.75,0.91013,0.77338,0.61918,1.24319,0.91042,0.00185674,0.00185674,0.00185674
25,540.64,0.58462,0.71585,0.89996,0.84577,0.91404,0.8866,0.72666,0.70944,1.17868,1.01313,0.00193296,0.00193296,0.00193296
26,562.583,0.65824,0.74619,0.97726,0.82967,0.83333,0.86638,0.73432,0.62087,1.19065,0.94383,0.0019505,0.0019505,0.0019505
27,584.809,0.58569,0.67884,0.91773,0.88564,0.8605,0.91586,0.7797,0.55213,1.01839,0.8983,0.00194852,0.00194852,0.00194852
28,606.038,0.54656,0.71228,0.93012,0.90841,0.82665,0.93784,0.74623,0.63438,1.04317,0.93252,0.00194654,0.00194654,0.00194654
